location,count,link
"moscow, id",11,"https://collectionbuilder.github.io/collectionbuilder-contentdm/browse.html#moscow,%20id"
"new york, ny",4,"https://collectionbuilder.github.io/collectionbuilder-contentdm/browse.html#new%20york,%20ny"
"spokane, wa",3,"https://collectionbuilder.github.io/collectionbuilder-contentdm/browse.html#spokane,%20wa"
"hendersonville, tn",3,"https://collectionbuilder.github.io/collectionbuilder-contentdm/browse.html#hendersonville,%20tn"
"springfield, il",3,"https://collectionbuilder.github.io/collectionbuilder-contentdm/browse.html#springfield,%20il"
"los angeles, ca",2,"https://collectionbuilder.github.io/collectionbuilder-contentdm/browse.html#los%20angeles,%20ca"
"portland, or",1,"https://collectionbuilder.github.io/collectionbuilder-contentdm/browse.html#portland,%20or"
"berkley, co",1,"https://collectionbuilder.github.io/collectionbuilder-contentdm/browse.html#berkley,%20co"
"seattle, wa",1,"https://collectionbuilder.github.io/collectionbuilder-contentdm/browse.html#seattle,%20wa"
